,Champion,Picks,Bans,Presence,Avg BT,Wins,Losses,Winrate,KDA,GT,CSM,DPM,CSD@15,True Presence
116, Zed,0,0,0,-,,,,,0:00,,,,0.0
117, Evelynn,0,0,0,-,,,,,0:00,,,,0.0
118, Master Yi,0,0,0,-,,,,,0:00,,,,0.0
119, Urgot,0,0,0,-,,,,,0:00,,,,0.0
120, Skarner,0,0,0,-,,,,,0:00,,,,0.0
121, Jhin,0,0,0,-,,,,,0:00,,,,0.0
122, Fizz,0,0,0,-,,,,,0:00,,,,0.0
123, Nunu,0,0,0,-,,,,,0:00,,,,0.0
124, Vi,0,0,0,-,,,,,0:00,,,,0.0
125, Amumu,0,0,0,-,,,,,0:00,,,,0.0
126, Swain,0,0,0,-,,,,,0:00,,,,0.0
127, Kayn,0,0,0,-,,,,,0:00,,,,0.0
128, Hecarim,0,0,0,-,,,,,0:00,,,,0.0
129, Rengar,0,0,0,-,,,,,0:00,,,,0.0
130, Wukong,0,0,0,-,,,,,0:00,,,,0.0
131, Chogath,0,0,0,-,,,,,0:00,,,,0.0
132, Teemo,0,0,0,-,,,,,0:00,,,,0.0
133, Katarina,0,0,0,-,,,,,0:00,,,,0.0
134, Shaco,0,0,0,-,,,,,0:00,,,,0.0
135, Yorick,0,0,0,-,,,,,0:00,,,,0.0
136, Draven,0,0,0,-,,,,,0:00,,,,0.0
137, Malzahar,0,0,0,-,,,,,0:00,,,,0.0
138, Udyr,0,0,0,-,,,,,0:00,,,,0.0
139, Singed,0,0,0,-,,,,,0:00,,,,0.0
140, Zyra,0,0,0,-,,,,,0:00,,,,0.0
141, Fiddlesticks,0,0,0,-,,,,,0:00,,,,0.0
142, Nasus,0,0,0,-,,,,,0:00,,,,0.0
143, Veigar,0,0,0,-,,,,,0:00,,,,0.0
144, Ahri,0,0,0,-,,,,,0:00,,,,0.0
145, Sona,0,0,0,-,,,,,0:00,,,,0.0
146, Aurelion Sol,0,0,0,-,,,,,0:00,,,,0.0
147, Garen,0,0,0,-,,,,,0:00,,,,0.0
