Champion,Picks_x,Bans_x,Presence_x,Wins_x,Losses_x,Winrate_x,KDA_x,Avg BT_x,GT_x,CSM_x,DPM_x,GPM_x,CSD@15_x,GD@15_x,XPD@15_x,True Presence_x,Picks_y,Bans_y,Presence_y,Wins_y,Losses_y,Winrate_y,KDA_y,Avg BT_y,GT_y,CSM_y,DPM_y,GPM_y,CSD@15_y,GD@15_y,XPD@15_y,True Presence_y,Picks_x,Bans_x,Presence_x,Wins_x,Losses_x,Winrate_x,KDA_x,Avg BT_x,GT_x,CSM_x,DPM_x,GPM_x,CSD@15_x,GD@15_x,XPD@15_x,True Presence_x,Picks_y,Bans_y,Presence_y,Wins_y,Losses_y,Winrate_y,KDA_y,Avg BT_y,GT_y,CSM_y,DPM_y,GPM_y,CSD@15_y,GD@15_y,XPD@15_y,True Presence_y
 Zoe,50,35,40,26.0,24.0,52.0,6.1,7,32:02:00,8.7,540.0,391.0,2.1,191.0,90.0,39.53488372093023,9,5,16,5.0,4.0,56.0,4.7,8.2,36:28:00,7.9,538.0,378.0,0.3,156.0,316.0,15.555555555555555,62,172,76,28.0,34.0,45.0,4.4,3.6,30:59:00,8.0,550.0,379.0,0.8,157.0,70.0,76.47058823529412,9,17,29,3.0,6.0,33.0,3,4.8,31:00:00,8.2,505.0,378.0,-8.1,-91.0,-396.0,28.888888888888886
 Kalista,16,59,35,10.0,6.0,63.0,4.9,4,34:02:00,9.5,400.0,440.0,8.8,447.0,324.0,34.883720930232556,8,13,23,6.0,2.0,75.0,6.4,6.2,32:00:00,9.5,403.0,445.0,8.4,283.0,136.0,23.333333333333332,19,17,12,6.0,13.0,32.0,2.3,6.2,29:47:00,9.6,391.0,414.0,10.6,172.0,164.0,11.76470588235294,10,25,39,5.0,5.0,50.0,3,3.9,32:14:00,9.0,342.0,419.0,3.9,313.0,-119.0,38.88888888888889
 Hecarim,35,39,34,19.0,16.0,54.0,4.3,5.2,31:49:00,6.3,325.0,348.0,-4.5,18.0,-147.0,34.418604651162795,36,28,71,19.0,17.0,53.0,4.4,5.4,34:21:00,6.2,267.0,346.0,-1.6,138.0,14.0,71.11111111111111,70,52,40,37.0,33.0,53.0,3.9,4.4,30:42:00,6.0,316.0,350.0,-4.8,-11.0,-128.0,39.869281045751634,24,13,41,10.0,14.0,42.0,3.3,6.2,32:36:00,5.8,274.0,324.0,-7.3,-343.0,-336.0,41.11111111111111
 Pantheon,23,51,34,10.0,13.0,43.0,2.2,4.2,32:25:00,5.6,339.0,328.0,-7.8,-34.0,-323.0,34.418604651162795,7,23,33,5.0,2.0,71.0,2.5,4.7,29:52:00,4.2,290.0,300.0,-6.4,27.0,-182.0,33.33333333333333,33,94,42,23.0,10.0,70.0,4.4,4.2,31:36:00,5.9,358.0,364.0,-7.0,174.0,-79.0,41.50326797385621,10,25,39,5.0,5.0,50.0,3.7,3.7,31:35:00,6.2,409.0,362.0,-6.8,45.0,-180.0,38.88888888888889
 Viktor,52,21,34,25.0,27.0,48.0,3.9,8.5,33:39:00,9.1,631.0,402.0,-2.6,-174.0,-80.0,33.95348837209302,13,4,19,6.0,7.0,46.0,2.6,8.5,35:51:00,9.0,609.0,397.0,-2.9,-122.0,-107.0,18.88888888888889,51,17,22,26.0,25.0,51.0,3.4,8.4,31:14:00,8.7,615.0,390.0,0.0,-187.0,52.0,22.22222222222222,10,4,16,3.0,7.0,30.0,2,9.5,32:49:00,9.0,561.0,380.0,-3.2,-356.0,-256.0,15.555555555555555
 Sion,51,21,33,27.0,24.0,53.0,3.4,8.1,31:59:00,7.2,406.0,338.0,-12.9,-559.0,-221.0,33.48837209302326,11,4,17,2.0,9.0,18.0,1.7,7.5,34:16:00,7.3,397.0,330.0,-14.6,-570.0,-226.0,16.666666666666664,44,21,21,18.0,26.0,41.0,2.7,7.9,30:53:00,7.0,363.0,337.0,-14.1,-608.0,-307.0,21.241830065359476,20,7,30,8.0,12.0,40.0,2.4,8.1,32:48:00,7.1,329.0,338.0,-9.2,-294.0,17.0,30.0
 Tristana,36,29,30,17.0,19.0,47.0,3.5,5.6,31:12:00,9.9,432.0,435.0,-2.5,237.0,133.0,30.23255813953488,29,21,56,18.0,11.0,62.0,3.9,5.1,34:16:00,9.5,478.0,442.0,4.9,564.0,352.0,55.55555555555556,90,67,51,50.0,40.0,56.0,3.9,5.2,29:49:00,9.6,473.0,448.0,-2.0,133.0,169.0,51.307189542483655,11,15,29,4.0,7.0,36.0,2.7,7.2,30:32:00,8.5,466.0,428.0,-6.7,-148.0,-332.0,28.888888888888886
 Galio,28,32,28,14.0,14.0,50.0,2.8,8.1,33:12:00,2.8,218.0,263.0,-2.5,-187.0,-79.0,27.906976744186046,10,10,22,5.0,5.0,50.0,3.1,6.7,34:08:00,3.0,209.0,263.0,-10.4,-485.0,-328.0,22.22222222222222,55,43,32,23.0,32.0,42.0,3.1,6.5,30:37:00,4.6,309.0,299.0,-8.3,-254.0,-120.0,32.02614379084967,7,3,11,2.0,5.0,29.0,2,9,30:26:00,2.0,218.0,240.0,-2.7,-380.0,-172.0,11.11111111111111
 Lucian,15,45,28,11.0,4.0,73.0,5.1,4.2,32:24:00,10.0,603.0,463.0,15.3,813.0,407.0,27.906976744186046,10,11,23,4.0,6.0,40.0,2.4,5.3,32:39:00,8.9,472.0,413.0,-1.7,313.0,-121.0,23.333333333333332,35,52,28,22.0,13.0,63.0,3.9,7.2,31:04:00,9.3,532.0,447.0,8.9,647.0,210.0,28.431372549019606,14,17,34,8.0,6.0,57.0,3.7,4.6,33:45:00,9.5,495.0,439.0,4.0,428.0,-241.0,34.44444444444444
 Aatrox,29,29,27,13.0,16.0,45.0,2.8,7.8,32:13:00,8.4,490.0,379.0,5.1,190.0,144.0,26.976744186046513,12,4,18,6.0,6.0,50.0,4,9.3,35:21:00,8.1,480.0,389.0,7.7,283.0,249.0,17.77777777777778,54,43,32,22.0,32.0,41.0,2.6,7.6,30:58:00,8.0,434.0,371.0,3.0,-37.0,144.0,31.699346405228756,13,18,34,10.0,3.0,77.0,6.6,8.3,34:29:00,8.2,494.0,415.0,13.1,360.0,509.0,34.44444444444444
