Champion,Picks_x,Bans_x,Presence_x,Wins_x,Losses_x,Winrate_x,KDA_x,Avg BT_x,GT_x,CSM_x,DPM_x,GPM_x,CSD@15_x,GD@15_x,XPD@15_x,True Presence_x,Picks_y,Bans_y,Presence_y,Wins_y,Losses_y,Winrate_y,KDA_y,Avg BT_y,GT_y,CSM_y,DPM_y,GPM_y,CSD@15_y,GD@15_y,XPD@15_y,True Presence_y,Picks_x,Bans_x,Presence_x,Wins_x,Losses_x,Winrate_x,KDA_x,Avg BT_x,GT_x,CSM_x,DPM_x,GPM_x,CSD@15_x,GD@15_x,XPD@15_x,True Presence_x,Picks_y,Bans_y,Presence_y,Wins_y,Losses_y,Winrate_y,KDA_y,Avg BT_y,GT_y,CSM_y,DPM_y,GPM_y,CSD@15_y,GD@15_y,XPD@15_y,True Presence_y
 Ahri,0,0,0,,,,,-,0:00,,,,,,,0.0,1,0,1,1.0,0.0,100.0,5.3,-,34:53:00,8.3,586.0,397.0,22.0,377.0,263.0,1.1111111111111112,0,0,0,,,,,-,0:00,,,,,,,0.0,2,0,2,1.0,1.0,50.0,4.5,-,33:52:00,9.3,484.0,417.0,-9.0,394.0,-294.0,2.2222222222222223
 Amumu,0,0,0,,,,,-,0:00,,,,,,,0.0,0,0,0,,,,,-,0:00,,,,,,,0.0,0,0,0,,,,,-,0:00,,,,,,,0.0,0,0,0,,,,,-,0:00,,,,,,,0.0
 Anivia,0,0,0,,,,,-,0:00,,,,,,,0.0,0,0,0,,,,,-,0:00,,,,,,,0.0,0,0,0,,,,,-,0:00,,,,,,,0.0,0,0,0,,,,,-,0:00,,,,,,,0.0
 Annie,0,0,0,,,,,-,0:00,,,,,,,0.0,0,0,0,,,,,-,0:00,,,,,,,0.0,0,0,0,,,,,-,0:00,,,,,,,0.0,0,0,0,,,,,-,0:00,,,,,,,0.0
 Brand,0,0,0,,,,,-,0:00,,,,,,,0.0,0,0,0,,,,,-,0:00,,,,,,,0.0,0,0,0,,,,,-,0:00,,,,,,,0.0,0,0,0,,,,,-,0:00,,,,,,,0.0
 Caitlyn,0,0,0,,,,,-,0:00,,,,,,,0.0,3,0,3,1.0,2.0,33.0,4.7,-,39:28:00,9.8,511.0,443.0,15.0,817.0,298.0,3.3333333333333335,2,0,1,1.0,1.0,50.0,2,-,30:15:00,9.8,478.0,406.0,-24.0,-712.0,-1077.0,0.6535947712418301,5,17,24,1.0,4.0,20.0,3.7,4.3,32:57:00,9.5,561.0,424.0,5.8,334.0,-330.0,24.444444444444443
 Darius,0,0,0,,,,,-,0:00,,,,,,,0.0,0,0,0,,,,,-,0:00,,,,,,,0.0,0,0,0,,,,,-,0:00,,,,,,,0.0,0,0,0,,,,,-,0:00,,,,,,,0.0
 Diana,0,0,0,,,,,-,0:00,,,,,,,0.0,0,0,0,,,,,-,0:00,,,,,,,0.0,0,0,0,,,,,-,0:00,,,,,,,0.0,0,0,0,,,,,-,0:00,,,,,,,0.0
 Draven,0,0,0,,,,,-,0:00,,,,,,,0.0,2,1,3,0.0,2.0,0.0,1.8,7,33:30:00,8.6,355.0,394.0,-4.5,-220.0,-296.0,3.3333333333333335,1,1,1,1.0,0.0,100.0,4,10,30:42:00,9.0,386.0,485.0,-1.0,1129.0,-787.0,0.6535947712418301,0,1,1,,,,,7,0:00,,,,,,,1.1111111111111112
 Elise,0,0,0,,,,,-,0:00,,,,,,,0.0,0,0,0,,,,,-,0:00,,,,,,,0.0,1,6,2,1.0,0.0,100.0,5.5,3.7,35:13:00,5.7,424.0,367.0,-15.0,756.0,-143.0,2.287581699346405,0,0,0,,,,,-,0:00,,,,,,,0.0
 Evelynn,0,0,0,,,,,-,0:00,,,,,,,0.0,0,0,0,,,,,-,0:00,,,,,,,0.0,0,0,0,,,,,-,0:00,,,,,,,0.0,1,0,1,0.0,1.0,0.0,1.8,-,35:50:00,5.5,442.0,354.0,-7.0,442.0,365.0,1.1111111111111112
 Fiddlesticks,0,0,0,,,,,-,0:00,,,,,,,0.0,0,0,0,,,,,-,0:00,,,,,,,0.0,0,0,0,,,,,-,0:00,,,,,,,0.0,0,1,1,,,,,6,0:00,,,,,,,1.1111111111111112
 Fiora,0,0,0,,,,,-,0:00,,,,,,,0.0,0,0,0,,,,,-,0:00,,,,,,,0.0,2,1,1,0.0,2.0,0.0,1.4,10,27:13:00,8.5,313.0,380.0,11.5,240.0,24.0,0.9803921568627451,1,0,1,1.0,0.0,100.0,4,-,36:55:00,8.3,513.0,432.0,-7.0,-29.0,363.0,1.1111111111111112
 Garen,0,0,0,,,,,-,0:00,,,,,,,0.0,0,0,0,,,,,-,0:00,,,,,,,0.0,0,1,0,,,,,6,0:00,,,,,,,0.32679738562091504,0,0,0,,,,,-,0:00,,,,,,,0.0
 Katarina,0,0,0,,,,,-,0:00,,,,,,,0.0,0,0,0,,,,,-,0:00,,,,,,,0.0,0,0,0,,,,,-,0:00,,,,,,,0.0,0,0,0,,,,,-,0:00,,,,,,,0.0
 KhaZix,0,0,0,,,,,-,0:00,,,,,,,0.0,0,0,0,,,,,-,0:00,,,,,,,0.0,0,0,0,,,,,-,0:00,,,,,,,0.0,0,0,0,,,,,-,0:00,,,,,,,0.0
 Lissandra,0,0,0,,,,,-,0:00,,,,,,,0.0,0,0,0,,,,,-,0:00,,,,,,,0.0,0,0,0,,,,,-,0:00,,,,,,,0.0,0,0,0,,,,,-,0:00,,,,,,,0.0
 Lux,0,0,0,,,,,-,0:00,,,,,,,0.0,0,0,0,,,,,-,0:00,,,,,,,0.0,0,0,0,,,,,-,0:00,,,,,,,0.0,1,2,3,1.0,0.0,100.0,2.8,9,35:40:00,0.7,207.0,242.0,-11.0,-1625.0,-2069.0,3.3333333333333335
 Malzahar,0,0,0,,,,,-,0:00,,,,,,,0.0,0,1,1,,,,,8,0:00,,,,,,,1.1111111111111112,0,0,0,,,,,-,0:00,,,,,,,0.0,0,0,0,,,,,-,0:00,,,,,,,0.0
 Master Yi,0,0,0,,,,,-,0:00,,,,,,,0.0,0,0,0,,,,,-,0:00,,,,,,,0.0,0,0,0,,,,,-,0:00,,,,,,,0.0,0,0,0,,,,,-,0:00,,,,,,,0.0
 Nami,0,0,0,,,,,-,0:00,,,,,,,0.0,0,0,0,,,,,-,0:00,,,,,,,0.0,0,0,0,,,,,-,0:00,,,,,,,0.0,0,0,0,,,,,-,0:00,,,,,,,0.0
 Nunu,0,0,0,,,,,-,0:00,,,,,,,0.0,0,0,0,,,,,-,0:00,,,,,,,0.0,0,0,0,,,,,-,0:00,,,,,,,0.0,0,0,0,,,,,-,0:00,,,,,,,0.0
 Poppy,0,0,0,,,,,-,0:00,,,,,,,0.0,0,0,0,,,,,-,0:00,,,,,,,0.0,0,0,0,,,,,-,0:00,,,,,,,0.0,0,1,1,,,,,8,0:00,,,,,,,1.1111111111111112
 Rammus,0,0,0,,,,,-,0:00,,,,,,,0.0,0,0,0,,,,,-,0:00,,,,,,,0.0,0,0,0,,,,,-,0:00,,,,,,,0.0,0,0,0,,,,,-,0:00,,,,,,,0.0
 Rengar,0,0,0,,,,,-,0:00,,,,,,,0.0,1,0,1,0.0,1.0,0.0,0.5,-,30:25:00,5.1,196.0,267.0,-31.0,-1663.0,-2003.0,1.1111111111111112,0,1,0,,,,,9,0:00,,,,,,,0.32679738562091504,0,0,0,,,,,-,0:00,,,,,,,0.0
 Riven,0,0,0,,,,,-,0:00,,,,,,,0.0,0,0,0,,,,,-,0:00,,,,,,,0.0,0,0,0,,,,,-,0:00,,,,,,,0.0,1,0,1,1.0,0.0,100.0,-,-,29:12:00,9.1,680.0,535.0,24.0,3240.0,2054.0,1.1111111111111112
 Sejuani,0,0,0,,,,,-,0:00,,,,,,,0.0,0,0,0,,,,,-,0:00,,,,,,,0.0,7,3,3,5.0,2.0,71.0,4.9,8.3,33:43:00,5.3,262.0,330.0,-18.0,-400.0,-632.0,3.2679738562091507,0,0,0,,,,,-,0:00,,,,,,,0.0
 Shaco,0,0,0,,,,,-,0:00,,,,,,,0.0,0,0,0,,,,,-,0:00,,,,,,,0.0,0,0,0,,,,,-,0:00,,,,,,,0.0,0,0,0,,,,,-,0:00,,,,,,,0.0
 Shyvana,0,0,0,,,,,-,0:00,,,,,,,0.0,0,0,0,,,,,-,0:00,,,,,,,0.0,0,0,0,,,,,-,0:00,,,,,,,0.0,0,0,0,,,,,-,0:00,,,,,,,0.0
 Singed,0,0,0,,,,,-,0:00,,,,,,,0.0,0,0,0,,,,,-,0:00,,,,,,,0.0,0,0,0,,,,,-,0:00,,,,,,,0.0,0,0,0,,,,,-,0:00,,,,,,,0.0
 Sona,0,0,0,,,,,-,0:00,,,,,,,0.0,0,0,0,,,,,-,0:00,,,,,,,0.0,0,0,0,,,,,-,0:00,,,,,,,0.0,0,0,0,,,,,-,0:00,,,,,,,0.0
 Soraka,0,0,0,,,,,-,0:00,,,,,,,0.0,0,0,0,,,,,-,0:00,,,,,,,0.0,0,0,0,,,,,-,0:00,,,,,,,0.0,0,0,0,,,,,-,0:00,,,,,,,0.0
 Swain,0,0,0,,,,,-,0:00,,,,,,,0.0,0,0,0,,,,,-,0:00,,,,,,,0.0,0,0,0,,,,,-,0:00,,,,,,,0.0,0,0,0,,,,,-,0:00,,,,,,,0.0
 Talon,0,0,0,,,,,-,0:00,,,,,,,0.0,0,0,0,,,,,-,0:00,,,,,,,0.0,0,0,0,,,,,-,0:00,,,,,,,0.0,0,0,0,,,,,-,0:00,,,,,,,0.0
 Taric,0,0,0,,,,,-,0:00,,,,,,,0.0,0,0,0,,,,,-,0:00,,,,,,,0.0,1,0,0,0.0,1.0,0.0,1.2,-,33:53:00,1.2,65.0,222.0,-2.0,-301.0,606.0,0.32679738562091504,0,0,0,,,,,-,0:00,,,,,,,0.0
 Teemo,0,0,0,,,,,-,0:00,,,,,,,0.0,0,0,0,,,,,-,0:00,,,,,,,0.0,0,1,0,,,,,9,0:00,,,,,,,0.32679738562091504,0,0,0,,,,,-,0:00,,,,,,,0.0
 Tryndamere,0,0,0,,,,,-,0:00,,,,,,,0.0,0,0,0,,,,,-,0:00,,,,,,,0.0,0,0,0,,,,,-,0:00,,,,,,,0.0,0,0,0,,,,,-,0:00,,,,,,,0.0
 Twitch,0,0,0,,,,,-,0:00,,,,,,,0.0,0,0,0,,,,,-,0:00,,,,,,,0.0,0,0,0,,,,,-,0:00,,,,,,,0.0,0,0,0,,,,,-,0:00,,,,,,,0.0
 Urgot,0,0,0,,,,,-,0:00,,,,,,,0.0,0,0,0,,,,,-,0:00,,,,,,,0.0,0,0,0,,,,,-,0:00,,,,,,,0.0,1,0,1,1.0,0.0,100.0,17,-,30:56:00,8.7,611.0,504.0,0.0,-438.0,-390.0,1.1111111111111112
 Vi,0,0,0,,,,,-,0:00,,,,,,,0.0,0,0,0,,,,,-,0:00,,,,,,,0.0,0,0,0,,,,,-,0:00,,,,,,,0.0,0,0,0,,,,,-,0:00,,,,,,,0.0
 Warwick,0,0,0,,,,,-,0:00,,,,,,,0.0,0,0,0,,,,,-,0:00,,,,,,,0.0,0,0,0,,,,,-,0:00,,,,,,,0.0,0,0,0,,,,,-,0:00,,,,,,,0.0
 Xerath,0,0,0,,,,,-,0:00,,,,,,,0.0,0,0,0,,,,,-,0:00,,,,,,,0.0,0,0,0,,,,,-,0:00,,,,,,,0.0,0,0,0,,,,,-,0:00,,,,,,,0.0
 Xin Zhao,0,0,0,,,,,-,0:00,,,,,,,0.0,0,0,0,,,,,-,0:00,,,,,,,0.0,0,0,0,,,,,-,0:00,,,,,,,0.0,0,0,0,,,,,-,0:00,,,,,,,0.0
 Yasuo,0,0,0,,,,,-,0:00,,,,,,,0.0,1,0,1,1.0,0.0,100.0,7.5,-,31:22:00,9.7,507.0,433.0,-36.0,-1059.0,-805.0,1.1111111111111112,0,0,0,,,,,-,0:00,,,,,,,0.0,0,0,0,,,,,-,0:00,,,,,,,0.0
 Yorick,0,0,0,,,,,-,0:00,,,,,,,0.0,0,0,0,,,,,-,0:00,,,,,,,0.0,0,0,0,,,,,-,0:00,,,,,,,0.0,0,0,0,,,,,-,0:00,,,,,,,0.0
 Zac,0,0,0,,,,,-,0:00,,,,,,,0.0,0,0,0,,,,,-,0:00,,,,,,,0.0,0,0,0,,,,,-,0:00,,,,,,,0.0,0,0,0,,,,,-,0:00,,,,,,,0.0
 Zed,0,0,0,,,,,-,0:00,,,,,,,0.0,0,0,0,,,,,-,0:00,,,,,,,0.0,0,0,0,,,,,-,0:00,,,,,,,0.0,0,0,0,,,,,-,0:00,,,,,,,0.0
 Ziggs,0,0,0,,,,,-,0:00,,,,,,,0.0,1,0,1,0.0,1.0,0.0,3,-,32:01:00,9.4,565.0,366.0,-27.0,-936.0,-1094.0,1.1111111111111112,0,0,0,,,,,-,0:00,,,,,,,0.0,0,0,0,,,,,-,0:00,,,,,,,0.0
 Zyra,0,0,0,,,,,-,0:00,,,,,,,0.0,0,0,0,,,,,-,0:00,,,,,,,0.0,0,0,0,,,,,-,0:00,,,,,,,0.0,0,0,0,,,,,-,0:00,,,,,,,0.0
 VelKoz,0,0,0,,,,,-,0:00,,,,,,,0.0,0,0,0,,,,,-,0:00,,,,,,,0.0,0,0,0,,,,,-,0:00,,,,,,,0.0,0,0,0,,,,,-,0:00,,,,,,,0.0
 Bard,0,0,0,,,,,-,0:00,,,,,,,0.0,2,1,3,1.0,1.0,50.0,3.7,7,31:01:00,1.1,134.0,227.0,-5.5,-557.0,-158.0,3.3333333333333335,3,0,1,2.0,1.0,67.0,2.8,-,29:19:00,1.0,174.0,245.0,-6.0,209.0,419.0,0.9803921568627451,1,0,1,0.0,1.0,0.0,1,-,42:41:00,1.3,223.0,207.0,18.0,-560.0,-496.0,1.1111111111111112
 Illaoi,0,0,0,,,,,-,0:00,,,,,,,0.0,0,0,0,,,,,-,0:00,,,,,,,0.0,0,0,0,,,,,-,0:00,,,,,,,0.0,0,0,0,,,,,-,0:00,,,,,,,0.0
 Aurelion Sol,0,0,0,,,,,-,0:00,,,,,,,0.0,0,0,0,,,,,-,0:00,,,,,,,0.0,0,0,0,,,,,-,0:00,,,,,,,0.0,0,0,0,,,,,-,0:00,,,,,,,0.0
 Ivern,0,0,0,,,,,-,0:00,,,,,,,0.0,1,0,1,0.0,1.0,0.0,10,-,48:00:00,5.6,212.0,289.0,-26.0,-2388.0,170.0,1.1111111111111112,0,0,0,,,,,-,0:00,,,,,,,0.0,3,0,3,2.0,1.0,67.0,5.3,-,29:51:00,6.2,213.0,313.0,-9.7,-630.0,-336.0,3.3333333333333335
 Qiyana,0,0,0,,,,,-,0:00,,,,,,,0.0,0,0,0,,,,,-,0:00,,,,,,,0.0,0,0,0,,,,,-,0:00,,,,,,,0.0,1,0,1,0.0,1.0,0.0,1.8,-,27:24:00,6.7,503.0,378.0,-40.0,-88.0,-822.0,1.1111111111111112
