Champion,Picks,Bans,Presence,Wins,Losses,Winrate,KDA,Avg BT,GT,CSM,DPM,GPM,CSD@15,GD@15,XPD@15
 KogMaw,1,0,0%,0,1,0%,1.3,-,31:36:00,9.9,479,405,40,2155,781
 LeBlanc,1,0,0%,0,1,0%,7,-,33:27:00,9.9,688,405,6,-716,396
 Morgana,0,1,0%,,,,,8,0:00,,,,,,
 Nasus,1,0,0%,0,1,0%,0.8,-,36:05:00,8,566,355,18,328,845
 Sivir,1,0,0%,0,1,0%,1.7,-,30:00:00,9.2,460,413,13,1286,568
 Trundle,1,0,0%,0,1,0%,1.1,-,30:32:00,4.8,270,332,1,233,579
 Veigar,1,0,0%,0,1,0%,1,-,34:35:00,8.1,482,361,14,778,-259
 Vladimir,1,0,0%,0,1,0%,0,-,32:40:00,9.7,186,344,5,-166,187
 RekSai,1,0,0%,0,1,0%,0.5,-,33:40:00,5,97,271,-14,-365,-464
 Kled,1,0,0%,0,1,0%,1.3,-,26:59:00,7.5,532,308,7,-622,21
 Ahri,0,0,0%,,,,,-,0:00,,,,,,
 Amumu,0,0,0%,,,,,-,0:00,,,,,,
 Anivia,0,0,0%,,,,,-,0:00,,,,,,
 Annie,0,0,0%,,,,,-,0:00,,,,,,
 Brand,0,0,0%,,,,,-,0:00,,,,,,
 Caitlyn,0,0,0%,,,,,-,0:00,,,,,,
 Darius,0,0,0%,,,,,-,0:00,,,,,,
 Diana,0,0,0%,,,,,-,0:00,,,,,,
 Draven,0,0,0%,,,,,-,0:00,,,,,,
 Elise,0,0,0%,,,,,-,0:00,,,,,,
 Evelynn,0,0,0%,,,,,-,0:00,,,,,,
 Fiddlesticks,0,0,0%,,,,,-,0:00,,,,,,
 Fiora,0,0,0%,,,,,-,0:00,,,,,,
 Garen,0,0,0%,,,,,-,0:00,,,,,,
 Katarina,0,0,0%,,,,,-,0:00,,,,,,
 KhaZix,0,0,0%,,,,,-,0:00,,,,,,
 Lissandra,0,0,0%,,,,,-,0:00,,,,,,
 Lux,0,0,0%,,,,,-,0:00,,,,,,
