Champion,Picks,Bans,Presence,Wins,Losses,Winrate,KDA,Avg BT,GT,CSM,DPM,GPM,CSD@15,GD@15,XPD@15
 Fiddlesticks,0,1,1%,,,,,6,0:00,,,,,,
 Fiora,1,0,1%,1,0,100%,4,-,36:55:00,8.3,513,432,-7,-29,363
 Jinx,1,0,1%,0,1,0%,3.5,-,31:40:00,10.8,463,421,7,926,-202
 Karthus,1,0,1%,1,0,100%,8,-,31:49:00,7.8,453,373,1,-91,-134
 Poppy,0,1,1%,,,,,8,0:00,,,,,,
 Riven,1,0,1%,1,0,100%,-,-,29:12:00,9.1,680,535,24,3240,2054
 Urgot,1,0,1%,1,0,100%,17,-,30:56:00,8.7,611,504,0,-438,-390
 Veigar,1,0,1%,0,1,0%,0.8,-,36:22:00,1.7,165,236,4,-442,-334
 Vladimir,1,0,1%,0,1,0%,0.3,-,29:12:00,7.3,267,305,-24,-3240,-2054
 RekSai,1,0,1%,0,1,0%,0.8,-,36:22:00,5.3,224,279,-27,-1018,-649
 Bard,1,0,1%,0,1,0%,1,-,42:41:00,1.3,223,207,18,-560,-496
 Kindred,1,0,1%,0,1,0%,0.8,-,29:42:00,6.3,324,358,2,-587,-920
 Kled,1,0,1%,0,1,0%,3,-,34:46:00,8.4,304,321,-1,-875,-686
 Qiyana,1,0,1%,0,1,0%,1.8,-,27:24:00,6.7,503,378,-40,-88,-822
 Amumu,0,0,0%,,,,,-,0:00,,,,,,
 Anivia,0,0,0%,,,,,-,0:00,,,,,,
 Annie,0,0,0%,,,,,-,0:00,,,,,,
 Brand,0,0,0%,,,,,-,0:00,,,,,,
 Cassiopeia,0,0,0%,,,,,-,0:00,,,,,,
 Darius,0,0,0%,,,,,-,0:00,,,,,,
 Diana,0,0,0%,,,,,-,0:00,,,,,,
 Elise,0,0,0%,,,,,-,0:00,,,,,,
 Fizz,0,0,0%,,,,,-,0:00,,,,,,
 Garen,0,0,0%,,,,,-,0:00,,,,,,
 Heimerdinger,0,0,0%,,,,,-,0:00,,,,,,
 Janna,0,0,0%,,,,,-,0:00,,,,,,
 Kassadin,0,0,0%,,,,,-,0:00,,,,,,
 Katarina,0,0,0%,,,,,-,0:00,,,,,,
 Kayle,0,0,0%,,,,,-,0:00,,,,,,
 KhaZix,0,0,0%,,,,,-,0:00,,,,,,
 KogMaw,0,0,0%,,,,,-,0:00,,,,,,
 Lee Sin,0,0,0%,,,,,-,0:00,,,,,,
 Lissandra,0,0,0%,,,,,-,0:00,,,,,,
 Malzahar,0,0,0%,,,,,-,0:00,,,,,,
 Maokai,0,0,0%,,,,,-,0:00,,,,,,
 Master Yi,0,0,0%,,,,,-,0:00,,,,,,
 Mordekaiser,0,0,0%,,,,,-,0:00,,,,,,
 Nami,0,0,0%,,,,,-,0:00,,,,,,
 Nasus,0,0,0%,,,,,-,0:00,,,,,,
 Nunu,0,0,0%,,,,,-,0:00,,,,,,
 Rammus,0,0,0%,,,,,-,0:00,,,,,,
 Rengar,0,0,0%,,,,,-,0:00,,,,,,
 Sejuani,0,0,0%,,,,,-,0:00,,,,,,
 Shaco,0,0,0%,,,,,-,0:00,,,,,,
 Shyvana,0,0,0%,,,,,-,0:00,,,,,,
 Singed,0,0,0%,,,,,-,0:00,,,,,,
 Sona,0,0,0%,,,,,-,0:00,,,,,,
 Soraka,0,0,0%,,,,,-,0:00,,,,,,
 Swain,0,0,0%,,,,,-,0:00,,,,,,
 Talon,0,0,0%,,,,,-,0:00,,,,,,
 Taric,0,0,0%,,,,,-,0:00,,,,,,
 Teemo,0,0,0%,,,,,-,0:00,,,,,,
 Trundle,0,0,0%,,,,,-,0:00,,,,,,
 Tryndamere,0,0,0%,,,,,-,0:00,,,,,,
 Twitch,0,0,0%,,,,,-,0:00,,,,,,
 Varus,0,0,0%,,,,,-,0:00,,,,,,
 Vi,0,0,0%,,,,,-,0:00,,,,,,
 Warwick,0,0,0%,,,,,-,0:00,,,,,,
 Xerath,0,0,0%,,,,,-,0:00,,,,,,
 Xin Zhao,0,0,0%,,,,,-,0:00,,,,,,
 Yasuo,0,0,0%,,,,,-,0:00,,,,,,
 Yorick,0,0,0%,,,,,-,0:00,,,,,,
 Zac,0,0,0%,,,,,-,0:00,,,,,,
 Zed,0,0,0%,,,,,-,0:00,,,,,,
 Ziggs,0,0,0%,,,,,-,0:00,,,,,,
 Zilean,0,0,0%,,,,,-,0:00,,,,,,
 Zyra,0,0,0%,,,,,-,0:00,,,,,,
 VelKoz,0,0,0%,,,,,-,0:00,,,,,,
 Illaoi,0,0,0%,,,,,-,0:00,,,,,,
 Aurelion Sol,0,0,0%,,,,,-,0:00,,,,,,
 Pyke,0,0,0%,,,,,-,0:00,,,,,,
 Neeko,0,0,0%,,,,,-,0:00,,,,,,
