,Champion,Picks,Bans,Presence,Wins,Losses,Winrate,KDA,Avg BT,GT,CSM,DPM,GPM,CSD@15,GD@15,XPD@15,True Presence
58, Chogath,6,1,3,3.0,3.0,50.0,3.3,8,29:58:00,7.9,355.0,358.0,-1.0,-233.0,13.0,3.255813953488372
59, Dr. Mundo,5,2,3,1.0,4.0,20.0,3.1,10,36:16:00,6.9,453.0,366.0,4.8,-236.0,-143.0,3.255813953488372
60, Rumble,4,3,3,2.0,2.0,50.0,3.4,7.3,35:01:00,7.6,610.0,359.0,3.0,411.0,-77.0,3.255813953488372
61, Nocturne,2,4,3,0.0,2.0,0.0,1.8,5.3,33:09:00,7.9,319.0,368.0,-5.0,92.0,-74.0,2.7906976744186047
62, Shen,4,1,2,1.0,3.0,25.0,2.2,10,31:33:00,2.6,178.0,255.0,-5.0,-110.0,166.0,2.3255813953488373
63, Varus,4,1,2,3.0,1.0,75.0,5.8,9,33:51:00,8.3,848.0,394.0,1.2,-320.0,-136.0,2.3255813953488373
64, Lee Sin,4,0,2,1.0,3.0,25.0,3.4,-,31:15:00,5.9,202.0,323.0,-22.5,-688.0,-972.0,1.8604651162790697
65, Miss Fortune,3,1,2,1.0,2.0,33.0,1.9,9,34:22:00,9.1,425.0,400.0,0.0,-461.0,238.0,1.8604651162790697
66, Mordekaiser,4,0,2,2.0,2.0,50.0,1.9,-,30:37:00,7.5,425.0,362.0,-17.5,-1354.0,-517.0,1.8604651162790697
67, Ryze,4,0,2,1.0,3.0,25.0,2.4,-,28:04:00,10.1,384.0,414.0,15.0,216.0,316.0,1.8604651162790697
68, Cassiopeia,3,0,1,0.0,3.0,0.0,0.8,-,29:50:00,8.0,379.0,341.0,-5.0,-711.0,-1083.0,1.3953488372093024
69, Karma,3,0,1,1.0,2.0,33.0,3.3,-,35:57:00,5.0,401.0,285.0,-9.0,-395.0,-537.0,1.3953488372093024
70, Karthus,2,1,1,1.0,1.0,50.0,1.8,9,37:47:00,7.0,779.0,367.0,0.5,169.0,-14.0,1.3953488372093024
71, Malphite,2,1,1,1.0,1.0,50.0,1.7,10,31:52:00,6.8,337.0,313.0,-32.0,-1804.0,-622.0,1.3953488372093024
72, Wukong,3,0,1,1.0,2.0,33.0,2.0,-,39:15:00,6.9,327.0,354.0,-22.3,-873.0,-387.0,1.3953488372093024
73, Zilean,3,0,1,2.0,1.0,67.0,11.3,-,30:56:00,8.3,445.0,379.0,16.7,628.0,1327.0,1.3953488372093024
74, Ekko,0,3,1,,,,,5.7,0:00,,,,,,,1.3953488372093024
75, Pyke,3,0,1,1.0,2.0,33.0,1.9,-,33:54:00,1.4,123.0,254.0,-1.3,-30.0,-527.0,1.3953488372093024
76, Neeko,3,0,1,2.0,1.0,67.0,2.9,-,34:10:00,3.6,376.0,299.0,-10.0,442.0,256.0,1.3953488372093024
77, Corki,2,0,1,1.0,1.0,50.0,3.7,-,32:45:00,10.4,605.0,502.0,11.5,780.0,369.0,0.9302325581395349
78, Jax,1,1,1,0.0,1.0,0.0,0.0,10,34:53:00,8.8,344.0,359.0,15.0,-290.0,245.0,0.9302325581395349
79, Braum,2,0,1,1.0,1.0,50.0,2.0,-,34:15:00,1.2,188.0,215.0,12.5,-630.0,-751.0,0.9302325581395349
80, Yuumi,2,0,1,0.0,2.0,0.0,0.9,-,26:53:00,0.3,222.0,199.0,-15.0,-2223.0,-537.0,0.9302325581395349
81, Ashe,1,0,0,0.0,1.0,0.0,2.0,-,37:54:00,9.3,370.0,392.0,5.0,689.0,617.0,0.46511627906976744
82, Blitzcrank,1,0,0,0.0,1.0,0.0,1.2,-,50:59:00,0.9,119.0,218.0,7.0,168.0,349.0,0.46511627906976744
83, Fizz,1,0,0,1.0,0.0,100.0,3.3,-,35:35:00,7.1,385.0,397.0,-9.0,258.0,367.0,0.46511627906976744
84, Heimerdinger,1,0,0,1.0,0.0,100.0,1.9,-,34:42:00,6.1,533.0,388.0,-19.0,-691.0,-554.0,0.46511627906976744
85, Janna,1,0,0,1.0,0.0,100.0,8.0,-,30:46:00,0.5,233.0,251.0,-18.0,316.0,-394.0,0.46511627906976744
86, Kassadin,0,1,0,,,,,9,0:00,,,,,,,0.46511627906976744
87, Kayle,1,0,0,0.0,1.0,0.0,1.3,-,33:31:00,8.1,501.0,390.0,11.0,759.0,232.0,0.46511627906976744
88, KogMaw,1,0,0,0.0,1.0,0.0,1.3,-,31:36:00,9.9,479.0,405.0,40.0,2155.0,781.0,0.46511627906976744
89, LeBlanc,1,0,0,0.0,1.0,0.0,7.0,-,33:27:00,9.9,688.0,405.0,6.0,-716.0,396.0,0.46511627906976744
90, Morgana,0,1,0,,,,,8,0:00,,,,,,,0.46511627906976744
91, Nasus,1,0,0,0.0,1.0,0.0,0.8,-,36:05:00,8.0,566.0,355.0,18.0,328.0,845.0,0.46511627906976744
92, Sivir,1,0,0,0.0,1.0,0.0,1.7,-,30:00:00,9.2,460.0,413.0,13.0,1286.0,568.0,0.46511627906976744
93, Trundle,1,0,0,0.0,1.0,0.0,1.1,-,30:32:00,4.8,270.0,332.0,1.0,233.0,579.0,0.46511627906976744
94, Veigar,1,0,0,0.0,1.0,0.0,1.0,-,34:35:00,8.1,482.0,361.0,14.0,778.0,-259.0,0.46511627906976744
95, Vladimir,1,0,0,0.0,1.0,0.0,0.0,-,32:40:00,9.7,186.0,344.0,5.0,-166.0,187.0,0.46511627906976744
96, RekSai,1,0,0,0.0,1.0,0.0,0.5,-,33:40:00,5.0,97.0,271.0,-14.0,-365.0,-464.0,0.46511627906976744
97, Kled,1,0,0,0.0,1.0,0.0,1.3,-,26:59:00,7.5,532.0,308.0,7.0,-622.0,21.0,0.46511627906976744
98, Ahri,0,0,0,,,,,-,0:00,,,,,,,0.0
99, Amumu,0,0,0,,,,,-,0:00,,,,,,,0.0
100, Anivia,0,0,0,,,,,-,0:00,,,,,,,0.0
101, Annie,0,0,0,,,,,-,0:00,,,,,,,0.0
102, Brand,0,0,0,,,,,-,0:00,,,,,,,0.0
103, Caitlyn,0,0,0,,,,,-,0:00,,,,,,,0.0
104, Darius,0,0,0,,,,,-,0:00,,,,,,,0.0
105, Diana,0,0,0,,,,,-,0:00,,,,,,,0.0
106, Draven,0,0,0,,,,,-,0:00,,,,,,,0.0
107, Elise,0,0,0,,,,,-,0:00,,,,,,,0.0
108, Evelynn,0,0,0,,,,,-,0:00,,,,,,,0.0
109, Fiddlesticks,0,0,0,,,,,-,0:00,,,,,,,0.0
110, Fiora,0,0,0,,,,,-,0:00,,,,,,,0.0
111, Garen,0,0,0,,,,,-,0:00,,,,,,,0.0
112, Katarina,0,0,0,,,,,-,0:00,,,,,,,0.0
113, KhaZix,0,0,0,,,,,-,0:00,,,,,,,0.0
114, Lissandra,0,0,0,,,,,-,0:00,,,,,,,0.0
115, Lux,0,0,0,,,,,-,0:00,,,,,,,0.0
116, Malzahar,0,0,0,,,,,-,0:00,,,,,,,0.0
117, Master Yi,0,0,0,,,,,-,0:00,,,,,,,0.0
118, Nami,0,0,0,,,,,-,0:00,,,,,,,0.0
119, Nunu,0,0,0,,,,,-,0:00,,,,,,,0.0
120, Poppy,0,0,0,,,,,-,0:00,,,,,,,0.0
121, Rammus,0,0,0,,,,,-,0:00,,,,,,,0.0
122, Rengar,0,0,0,,,,,-,0:00,,,,,,,0.0
123, Riven,0,0,0,,,,,-,0:00,,,,,,,0.0
124, Sejuani,0,0,0,,,,,-,0:00,,,,,,,0.0
125, Shaco,0,0,0,,,,,-,0:00,,,,,,,0.0
126, Shyvana,0,0,0,,,,,-,0:00,,,,,,,0.0
127, Singed,0,0,0,,,,,-,0:00,,,,,,,0.0
128, Sona,0,0,0,,,,,-,0:00,,,,,,,0.0
129, Soraka,0,0,0,,,,,-,0:00,,,,,,,0.0
130, Swain,0,0,0,,,,,-,0:00,,,,,,,0.0
131, Talon,0,0,0,,,,,-,0:00,,,,,,,0.0
132, Taric,0,0,0,,,,,-,0:00,,,,,,,0.0
133, Teemo,0,0,0,,,,,-,0:00,,,,,,,0.0
134, Tryndamere,0,0,0,,,,,-,0:00,,,,,,,0.0
135, Twitch,0,0,0,,,,,-,0:00,,,,,,,0.0
136, Urgot,0,0,0,,,,,-,0:00,,,,,,,0.0
137, Vi,0,0,0,,,,,-,0:00,,,,,,,0.0
138, Warwick,0,0,0,,,,,-,0:00,,,,,,,0.0
139, Xerath,0,0,0,,,,,-,0:00,,,,,,,0.0
140, Xin Zhao,0,0,0,,,,,-,0:00,,,,,,,0.0
141, Yasuo,0,0,0,,,,,-,0:00,,,,,,,0.0
142, Yorick,0,0,0,,,,,-,0:00,,,,,,,0.0
143, Zac,0,0,0,,,,,-,0:00,,,,,,,0.0
144, Zed,0,0,0,,,,,-,0:00,,,,,,,0.0
145, Ziggs,0,0,0,,,,,-,0:00,,,,,,,0.0
146, Zyra,0,0,0,,,,,-,0:00,,,,,,,0.0
147, VelKoz,0,0,0,,,,,-,0:00,,,,,,,0.0
148, Bard,0,0,0,,,,,-,0:00,,,,,,,0.0
149, Illaoi,0,0,0,,,,,-,0:00,,,,,,,0.0
150, Aurelion Sol,0,0,0,,,,,-,0:00,,,,,,,0.0
151, Ivern,0,0,0,,,,,-,0:00,,,,,,,0.0
152, Qiyana,0,0,0,,,,,-,0:00,,,,,,,0.0
