,Champion,Picks,Bans,Presence,Wins,Losses,Winrate,KDA,Avg BT,GT,CSM,DPM,GPM,CSD@15,GD@15,XPD@15,True Presence
64, Kennen,3,1,4,2.0,1.0,67.0,2.7,9,33:12:00,7.4,345.0,336.0,-9.7,-263.0,-461.0,4.444444444444445
65, Morgana,2,2,4,0.0,2.0,0.0,1.7,8.5,28:47:00,0.5,171.0,218.0,-17.0,126.0,16.0,4.444444444444445
66, Yone,4,0,4,2.0,2.0,50.0,3.2,-,28:46:00,8.7,442.0,409.0,0.0,-296.0,249.0,4.444444444444445
67, Irelia,3,0,3,1.0,2.0,33.0,2.7,-,34:11:00,8.5,374.0,397.0,4.3,-382.0,-557.0,3.3333333333333335
68, Lulu,3,0,3,1.0,2.0,33.0,2.2,-,36:20:00,2.3,251.0,248.0,-7.3,-253.0,-233.0,3.3333333333333335
69, Lux,1,2,3,1.0,0.0,100.0,2.8,9,35:40:00,0.7,207.0,242.0,-11.0,-1625.0,-2069.0,3.3333333333333335
70, Nocturne,3,0,3,1.0,2.0,33.0,2.3,-,30:35:00,8.9,313.0,432.0,-2.0,-87.0,-72.0,3.3333333333333335
71, Sivir,2,1,3,2.0,0.0,100.0,-,7,32:37:00,10.5,593.0,491.0,10.0,-98.0,204.0,3.3333333333333335
72, Wukong,3,0,3,2.0,1.0,67.0,2,-,33:29:00,6.7,417.0,413.0,10.0,762.0,319.0,3.3333333333333335
73, Ivern,3,0,3,2.0,1.0,67.0,5.3,-,29:51:00,6.2,213.0,313.0,-9.7,-630.0,-336.0,3.3333333333333335
74, Ahri,2,0,2,1.0,1.0,50.0,4.5,-,33:52:00,9.3,484.0,417.0,-9.0,394.0,-294.0,2.2222222222222223
75, Quinn,2,0,2,2.0,0.0,100.0,3.8,-,39:56:00,9.0,772.0,463.0,14.5,1174.0,80.0,2.2222222222222223
76, Rumble,1,1,2,0.0,1.0,0.0,2.5,9,34:15:00,7.9,553.0,360.0,-13.0,-175.0,-528.0,2.2222222222222223
77, Kayn,1,1,2,1.0,0.0,100.0,5.7,10,29:46:00,7.6,561.0,477.0,-2.0,822.0,-114.0,2.2222222222222223
78, Yuumi,0,2,2,,,,,10,0:00,,,,,,,2.2222222222222223
79, Draven,0,1,1,,,,,7,0:00,,,,,,,1.1111111111111112
80, Evelynn,1,0,1,0.0,1.0,0.0,1.8,-,35:50:00,5.5,442.0,354.0,-7.0,442.0,365.0,1.1111111111111112
81, Fiddlesticks,0,1,1,,,,,6,0:00,,,,,,,1.1111111111111112
82, Fiora,1,0,1,1.0,0.0,100.0,4,-,36:55:00,8.3,513.0,432.0,-7.0,-29.0,363.0,1.1111111111111112
83, Jinx,1,0,1,0.0,1.0,0.0,3.5,-,31:40:00,10.8,463.0,421.0,7.0,926.0,-202.0,1.1111111111111112
84, Karthus,1,0,1,1.0,0.0,100.0,8,-,31:49:00,7.8,453.0,373.0,1.0,-91.0,-134.0,1.1111111111111112
85, Poppy,0,1,1,,,,,8,0:00,,,,,,,1.1111111111111112
86, Riven,1,0,1,1.0,0.0,100.0,-,-,29:12:00,9.1,680.0,535.0,24.0,3240.0,2054.0,1.1111111111111112
87, Urgot,1,0,1,1.0,0.0,100.0,17,-,30:56:00,8.7,611.0,504.0,0.0,-438.0,-390.0,1.1111111111111112
88, Veigar,1,0,1,0.0,1.0,0.0,0.8,-,36:22:00,1.7,165.0,236.0,4.0,-442.0,-334.0,1.1111111111111112
89, Vladimir,1,0,1,0.0,1.0,0.0,0.3,-,29:12:00,7.3,267.0,305.0,-24.0,-3240.0,-2054.0,1.1111111111111112
90, RekSai,1,0,1,0.0,1.0,0.0,0.8,-,36:22:00,5.3,224.0,279.0,-27.0,-1018.0,-649.0,1.1111111111111112
91, Bard,1,0,1,0.0,1.0,0.0,1,-,42:41:00,1.3,223.0,207.0,18.0,-560.0,-496.0,1.1111111111111112
92, Kindred,1,0,1,0.0,1.0,0.0,0.8,-,29:42:00,6.3,324.0,358.0,2.0,-587.0,-920.0,1.1111111111111112
93, Kled,1,0,1,0.0,1.0,0.0,3,-,34:46:00,8.4,304.0,321.0,-1.0,-875.0,-686.0,1.1111111111111112
94, Qiyana,1,0,1,0.0,1.0,0.0,1.8,-,27:24:00,6.7,503.0,378.0,-40.0,-88.0,-822.0,1.1111111111111112
95, Amumu,0,0,0,,,,,-,0:00,,,,,,,0.0
96, Anivia,0,0,0,,,,,-,0:00,,,,,,,0.0
97, Annie,0,0,0,,,,,-,0:00,,,,,,,0.0
98, Brand,0,0,0,,,,,-,0:00,,,,,,,0.0
99, Cassiopeia,0,0,0,,,,,-,0:00,,,,,,,0.0
100, Darius,0,0,0,,,,,-,0:00,,,,,,,0.0
101, Diana,0,0,0,,,,,-,0:00,,,,,,,0.0
102, Elise,0,0,0,,,,,-,0:00,,,,,,,0.0
103, Fizz,0,0,0,,,,,-,0:00,,,,,,,0.0
104, Garen,0,0,0,,,,,-,0:00,,,,,,,0.0
105, Heimerdinger,0,0,0,,,,,-,0:00,,,,,,,0.0
106, Janna,0,0,0,,,,,-,0:00,,,,,,,0.0
107, Kassadin,0,0,0,,,,,-,0:00,,,,,,,0.0
108, Katarina,0,0,0,,,,,-,0:00,,,,,,,0.0
109, Kayle,0,0,0,,,,,-,0:00,,,,,,,0.0
110, KhaZix,0,0,0,,,,,-,0:00,,,,,,,0.0
111, KogMaw,0,0,0,,,,,-,0:00,,,,,,,0.0
112, Lee Sin,0,0,0,,,,,-,0:00,,,,,,,0.0
113, Lissandra,0,0,0,,,,,-,0:00,,,,,,,0.0
114, Malzahar,0,0,0,,,,,-,0:00,,,,,,,0.0
115, Maokai,0,0,0,,,,,-,0:00,,,,,,,0.0
116, Master Yi,0,0,0,,,,,-,0:00,,,,,,,0.0
117, Mordekaiser,0,0,0,,,,,-,0:00,,,,,,,0.0
118, Nami,0,0,0,,,,,-,0:00,,,,,,,0.0
119, Nasus,0,0,0,,,,,-,0:00,,,,,,,0.0
120, Nunu,0,0,0,,,,,-,0:00,,,,,,,0.0
121, Rammus,0,0,0,,,,,-,0:00,,,,,,,0.0
122, Rengar,0,0,0,,,,,-,0:00,,,,,,,0.0
123, Sejuani,0,0,0,,,,,-,0:00,,,,,,,0.0
124, Shaco,0,0,0,,,,,-,0:00,,,,,,,0.0
125, Shyvana,0,0,0,,,,,-,0:00,,,,,,,0.0
126, Singed,0,0,0,,,,,-,0:00,,,,,,,0.0
127, Sona,0,0,0,,,,,-,0:00,,,,,,,0.0
128, Soraka,0,0,0,,,,,-,0:00,,,,,,,0.0
129, Swain,0,0,0,,,,,-,0:00,,,,,,,0.0
130, Talon,0,0,0,,,,,-,0:00,,,,,,,0.0
131, Taric,0,0,0,,,,,-,0:00,,,,,,,0.0
132, Teemo,0,0,0,,,,,-,0:00,,,,,,,0.0
133, Trundle,0,0,0,,,,,-,0:00,,,,,,,0.0
134, Tryndamere,0,0,0,,,,,-,0:00,,,,,,,0.0
135, Twitch,0,0,0,,,,,-,0:00,,,,,,,0.0
136, Varus,0,0,0,,,,,-,0:00,,,,,,,0.0
137, Vi,0,0,0,,,,,-,0:00,,,,,,,0.0
138, Warwick,0,0,0,,,,,-,0:00,,,,,,,0.0
139, Xerath,0,0,0,,,,,-,0:00,,,,,,,0.0
140, Xin Zhao,0,0,0,,,,,-,0:00,,,,,,,0.0
141, Yasuo,0,0,0,,,,,-,0:00,,,,,,,0.0
142, Yorick,0,0,0,,,,,-,0:00,,,,,,,0.0
143, Zac,0,0,0,,,,,-,0:00,,,,,,,0.0
144, Zed,0,0,0,,,,,-,0:00,,,,,,,0.0
145, Ziggs,0,0,0,,,,,-,0:00,,,,,,,0.0
146, Zilean,0,0,0,,,,,-,0:00,,,,,,,0.0
147, Zyra,0,0,0,,,,,-,0:00,,,,,,,0.0
148, VelKoz,0,0,0,,,,,-,0:00,,,,,,,0.0
149, Illaoi,0,0,0,,,,,-,0:00,,,,,,,0.0
150, Aurelion Sol,0,0,0,,,,,-,0:00,,,,,,,0.0
151, Pyke,0,0,0,,,,,-,0:00,,,,,,,0.0
152, Neeko,0,0,0,,,,,-,0:00,,,,,,,0.0
