,Champion,Picks,Bans,Presence,Wins,Losses,Winrate,KDA,Avg BT,GT,CSM,DPM,GPM,CSD@15,GD@15,XPD@15,True Presence
87, Yasuo,1,0,1,1.0,0.0,100.0,7.5,-,31:22:00,9.7,507.0,433.0,-36.0,-1059.0,-805.0,1.1111111111111112
88, Ziggs,1,0,1,0.0,1.0,0.0,3,-,32:01:00,9.4,565.0,366.0,-27.0,-936.0,-1094.0,1.1111111111111112
89, Ivern,1,0,1,0.0,1.0,0.0,10,-,48:00:00,5.6,212.0,289.0,-26.0,-2388.0,170.0,1.1111111111111112
90, Akali,0,0,0,,,,,-,0:00,,,,,,,0.0
91, Amumu,0,0,0,,,,,-,0:00,,,,,,,0.0
92, Anivia,0,0,0,,,,,-,0:00,,,,,,,0.0
93, Annie,0,0,0,,,,,-,0:00,,,,,,,0.0
94, Brand,0,0,0,,,,,-,0:00,,,,,,,0.0
95, Darius,0,0,0,,,,,-,0:00,,,,,,,0.0
96, Diana,0,0,0,,,,,-,0:00,,,,,,,0.0
97, Elise,0,0,0,,,,,-,0:00,,,,,,,0.0
98, Evelynn,0,0,0,,,,,-,0:00,,,,,,,0.0
99, Fiddlesticks,0,0,0,,,,,-,0:00,,,,,,,0.0
100, Fiora,0,0,0,,,,,-,0:00,,,,,,,0.0
101, Fizz,0,0,0,,,,,-,0:00,,,,,,,0.0
102, Garen,0,0,0,,,,,-,0:00,,,,,,,0.0
103, Heimerdinger,0,0,0,,,,,-,0:00,,,,,,,0.0
104, Karthus,0,0,0,,,,,-,0:00,,,,,,,0.0
105, Kassadin,0,0,0,,,,,-,0:00,,,,,,,0.0
106, Katarina,0,0,0,,,,,-,0:00,,,,,,,0.0
107, Kayle,0,0,0,,,,,-,0:00,,,,,,,0.0
108, KhaZix,0,0,0,,,,,-,0:00,,,,,,,0.0
109, KogMaw,0,0,0,,,,,-,0:00,,,,,,,0.0
110, Lee Sin,0,0,0,,,,,-,0:00,,,,,,,0.0
111, Lissandra,0,0,0,,,,,-,0:00,,,,,,,0.0
112, Lux,0,0,0,,,,,-,0:00,,,,,,,0.0
113, Master Yi,0,0,0,,,,,-,0:00,,,,,,,0.0
114, Nami,0,0,0,,,,,-,0:00,,,,,,,0.0
115, Nasus,0,0,0,,,,,-,0:00,,,,,,,0.0
116, Nunu,0,0,0,,,,,-,0:00,,,,,,,0.0
117, Poppy,0,0,0,,,,,-,0:00,,,,,,,0.0
118, Rammus,0,0,0,,,,,-,0:00,,,,,,,0.0
119, Riven,0,0,0,,,,,-,0:00,,,,,,,0.0
120, Sejuani,0,0,0,,,,,-,0:00,,,,,,,0.0
121, Shaco,0,0,0,,,,,-,0:00,,,,,,,0.0
122, Shyvana,0,0,0,,,,,-,0:00,,,,,,,0.0
123, Singed,0,0,0,,,,,-,0:00,,,,,,,0.0
124, Sona,0,0,0,,,,,-,0:00,,,,,,,0.0
125, Soraka,0,0,0,,,,,-,0:00,,,,,,,0.0
126, Swain,0,0,0,,,,,-,0:00,,,,,,,0.0
127, Talon,0,0,0,,,,,-,0:00,,,,,,,0.0
128, Taric,0,0,0,,,,,-,0:00,,,,,,,0.0
129, Teemo,0,0,0,,,,,-,0:00,,,,,,,0.0
130, Trundle,0,0,0,,,,,-,0:00,,,,,,,0.0
131, Tryndamere,0,0,0,,,,,-,0:00,,,,,,,0.0
132, Twitch,0,0,0,,,,,-,0:00,,,,,,,0.0
133, Urgot,0,0,0,,,,,-,0:00,,,,,,,0.0
134, Vi,0,0,0,,,,,-,0:00,,,,,,,0.0
135, Vladimir,0,0,0,,,,,-,0:00,,,,,,,0.0
136, Volibear,0,0,0,,,,,-,0:00,,,,,,,0.0
137, Warwick,0,0,0,,,,,-,0:00,,,,,,,0.0
138, Wukong,0,0,0,,,,,-,0:00,,,,,,,0.0
139, Xerath,0,0,0,,,,,-,0:00,,,,,,,0.0
140, Xin Zhao,0,0,0,,,,,-,0:00,,,,,,,0.0
141, Yorick,0,0,0,,,,,-,0:00,,,,,,,0.0
142, Zac,0,0,0,,,,,-,0:00,,,,,,,0.0
143, Zed,0,0,0,,,,,-,0:00,,,,,,,0.0
144, Zilean,0,0,0,,,,,-,0:00,,,,,,,0.0
145, Zyra,0,0,0,,,,,-,0:00,,,,,,,0.0
146, Braum,0,0,0,,,,,-,0:00,,,,,,,0.0
147, VelKoz,0,0,0,,,,,-,0:00,,,,,,,0.0
148, Illaoi,0,0,0,,,,,-,0:00,,,,,,,0.0
149, Aurelion Sol,0,0,0,,,,,-,0:00,,,,,,,0.0
150, Pyke,0,0,0,,,,,-,0:00,,,,,,,0.0
151, Yuumi,0,0,0,,,,,-,0:00,,,,,,,0.0
152, Qiyana,0,0,0,,,,,-,0:00,,,,,,,0.0
