Champion,Picks,Bans,Presence,Avg BT,Wins,Losses,Winrate,KDA,GT,CSM,DPM,CSD@15,True Presence
 Ashe,2,0,1%,-,1,1,50%,5,36:56:00,9.7,336,-,13.51
 Sivir,1,1,1%,9,0,1,0%,1,33:32:00,9.6,429,-,13.51
 Zac,2,0,1%,-,2,0,100%,10,40:51:00,5.1,327,-,13.51
 Talon,1,0,0%,-,0,1,0%,5,32:09:00,6.8,337,-,13.51
 Gnar,1,0,0%,-,0,1,0%,2,39:08:00,7,516,-,13.51
 Draven,1,0,0%,-,0,1,0%,1.2,28:29:00,9.3,344,-,13.51
 Lulu,1,0,0%,-,0,1,0%,2,32:47:00,0.9,92,0,13.51
 Nunu,1,0,0%,-,0,1,0%,0.5,32:56:00,4.6,159,-,13.51
 Ziggs,1,0,0%,-,1,0,100%,11,30:25:00,8.7,563,-,13.51
 Volibear,1,0,0%,-,1,0,100%,6,30:18:00,1.5,186,0,13.51
 Jhin,1,0,0%,-,1,0,100%,14,28:12:00,9.1,595,-,13.51
 Hecarim,1,0,0%,-,0,1,0%,0.8,28:12:00,7.9,241,-,13.51
 Kayle,1,0,0%,-,1,0,100%,8,29:02:00,9.3,333,-,13.51
 Tristana,1,0,0%,-,1,0,100%,4,31:25:00,9.9,401,-,13.51
 Xin Zhao,1,0,0%,-,0,1,0%,2,23:54,3.8,323,-,13.51
 Shen,0,1,0%,7,,,,,0:00,,,,13.51
 KogMaw,1,0,0%,-,0,1,0%,0.3,32:47:00,9.9,623,0,13.51
 Twisted Fate,1,0,0%,-,1,0,100%,10,32:42:00,8.2,397,-,13.51
 Udyr,0,0,0%,-,,,,,0:00,,,,13.51
 Annie,0,0,0%,-,,,,,0:00,,,,13.51
 Nami,0,0,0%,-,,,,,0:00,,,,13.51
 Skarner,0,0,0%,-,,,,,0:00,,,,13.51
 VelKoz,0,0,0%,-,,,,,0:00,,,,13.51
 Heimerdinger,0,0,0%,-,,,,,0:00,,,,13.51
 Veigar,0,0,0%,-,,,,,0:00,,,,13.51
 Chogath,0,0,0%,-,,,,,0:00,,,,13.51
 Rammus,0,0,0%,-,,,,,0:00,,,,13.51
 Soraka,0,0,0%,-,,,,,0:00,,,,13.51
 Ivern,0,0,0%,-,,,,,0:00,,,,13.51
 Katarina,0,0,0%,-,,,,,0:00,,,,13.51
 Warwick,0,0,0%,-,,,,,0:00,,,,13.51
 Dr. Mundo,0,0,0%,-,,,,,0:00,,,,13.51
 Riven,0,0,0%,-,,,,,0:00,,,,13.51
 Teemo,0,0,0%,-,,,,,0:00,,,,13.51
 Ahri,0,0,0%,-,,,,,0:00,,,,13.51
 Lux,0,0,0%,-,,,,,0:00,,,,13.51
 Shyvana,0,0,0%,-,,,,,0:00,,,,13.51
 Yorick,0,0,0%,-,,,,,0:00,,,,13.51
 Fiddlesticks,0,0,0%,-,,,,,0:00,,,,13.51
 Twitch,0,0,0%,-,,,,,0:00,,,,13.51
 Anivia,0,0,0%,-,,,,,0:00,,,,13.51
 Master Yi,0,0,0%,-,,,,,0:00,,,,13.51
 Sion,0,0,0%,-,,,,,0:00,,,,13.51
 Zyra,0,0,0%,-,,,,,0:00,,,,13.51
 Garen,0,0,0%,-,,,,,0:00,,,,13.51
 Urgot,0,0,0%,-,,,,,0:00,,,,13.51
 Brand,0,0,0%,-,,,,,0:00,,,,13.51
 Nasus,0,0,0%,-,,,,,0:00,,,,13.51
 Sona,0,0,0%,-,,,,,0:00,,,,13.51
 Illaoi,0,0,0%,-,,,,,0:00,,,,13.51
 Jinx,0,0,0%,-,,,,,0:00,,,,13.51
 Vi,0,0,0%,-,,,,,0:00,,,,13.51
 Darius,0,0,0%,-,,,,,0:00,,,,13.51
 Rengar,0,0,0%,-,,,,,0:00,,,,13.51
 Swain,0,0,0%,-,,,,,0:00,,,,13.51
 Kayn,0,0,0%,-,,,,,0:00,,,,13.51
 KhaZix,0,0,0%,-,,,,,0:00,,,,13.51
 Xerath,0,0,0%,-,,,,,0:00,,,,13.51
 Evelynn,0,0,0%,-,,,,,0:00,,,,13.51
 Shaco,0,0,0%,-,,,,,0:00,,,,13.51
 Tryndamere,0,0,0%,-,,,,,0:00,,,,13.51
 Amumu,0,0,0%,-,,,,,0:00,,,,13.51
 Malzahar,0,0,0%,-,,,,,0:00,,,,13.51
 Singed,0,0,0%,-,,,,,0:00,,,,13.51
 Zed,0,0,0%,-,,,,,0:00,,,,13.51
 Fizz,0,0,0%,-,,,,,0:00,,,,13.51
