Champion,Picks_x,Bans_x,Presence_x,Avg BT_x,Wins_x,Losses_x,Winrate_x,KDA_x,GT_x,CSM_x,DPM_x,CSD@15_x,True Presence_x,Picks_y,Bans_y,Presence_y,Avg BT_y,Wins_y,Losses_y,Winrate_y,KDA_y,GT_y,CSM_y,DPM_y,CSD@15_y,True Presence_y,Picks_x,Bans_x,Presence_x,Avg BT_x,Wins_x,Losses_x,Winrate_x,KDA_x,GT_x,CSM_x,DPM_x,CSD@15_x,True Presence_x,Picks_y,Bans_y,Presence_y,Avg BT_y,Wins_y,Losses_y,Winrate_y,KDA_y,GT_y,CSM_y,DPM_y,CSD@15_y,True Presence_y
 Kaisa,27,7,15,8,11.0,16.0,41.0,4.3,31:52:00,9.9,471.0,-2.5,15.246636771300448,4,0,4,-,2.0,2.0,50.0,4.3,28:21:00,9.3,424.0,-8.2,4.25531914893617,36,8,13,8.4,13.0,23.0,36.0,4.0,31:39:00,9.3,473.0,0,13.333333333333334,6,1,8,9,3.0,3.0,50.0,4.8,33:26:00,9.7,443.0,-1.0,7.777777777777778
 Xayah,20,12,14,8.7,9.0,11.0,45.0,3.1,34:20:00,10.3,484.0,-2.8,14.349775784753364,22,28,53,3.5,15.0,7.0,68.0,7.2,34:25:00,9.8,448.0,-1.2,53.191489361702125,7,3,3,8.7,2.0,5.0,29.0,2.8,35:06:00,9.8,431.0,-,3.0303030303030303,18,10,31,4.6,8.0,10.0,44.0,4,33:46:00,9.7,436.0,-6.1,31.11111111111111
 Qiyana,10,20,13,4.9,5.0,5.0,50.0,3.1,36:53:00,7.7,324.0,-14.8,13.452914798206278,7,24,33,5.7,6.0,1.0,86.0,3.4,31:17:00,7.0,404.0,-15.9,32.97872340425532,29,39,21,6.2,11.0,18.0,38.0,2.5,31:45:00,6.4,367.0,-,20.606060606060606,8,19,30,6.2,6.0,2.0,75.0,3.6,36:16:00,7.6,447.0,-6.9,30.0
 Morgana,15,12,12,8.5,10.0,5.0,67.0,5.9,32:07:00,1.7,213.0,-5.9,12.10762331838565,2,1,3,9,1.0,1.0,50.0,-,29:14:00,4.1,246.0,-1.5,3.1914893617021276,7,11,5,8.5,3.0,4.0,43.0,2.6,36:00:00,0.9,157.0,0,5.454545454545454,1,2,3,7.5,0.0,1.0,0.0,3.5,40:41:00,6.1,260.0,-32.0,3.3333333333333335
 Galio,15,11,12,8.4,8.0,7.0,53.0,4.2,31:43:00,7.6,330.0,-13.6,11.659192825112108,1,0,1,-,0.0,1.0,0.0,3,30:22:00,2.1,118.0,13.0,1.0638297872340425,19,9,8,9,12.0,7.0,63.0,5.3,32:49:00,7.3,457.0,0,8.484848484848486,3,1,4,7,1.0,2.0,33.0,1.3,31:51:00,4.5,261.0,-22.3,4.444444444444445
 Leona,14,12,12,8.3,5.0,9.0,36.0,1.4,35:48:00,1.1,115.0,0.9,11.659192825112108,13,2,16,9.5,5.0,8.0,38.0,2.1,34:32:00,1.1,97.0,-2.1,15.957446808510639,93,33,38,8.9,45.0,48.0,48.0,2.5,32:10:00,1.1,114.0,0,38.18181818181819,10,7,19,8.6,3.0,7.0,30.0,2.1,33:05:00,1.1,107.0,5.3,18.88888888888889
 Ekko,14,12,12,8.8,7.0,7.0,50.0,3.9,33:28:00,8.9,385.0,-2.4,11.659192825112108,3,3,6,8.3,1.0,2.0,33.0,4.5,30:33:00,9.4,472.0,0.7,6.382978723404255,23,7,9,7.7,11.0,12.0,48.0,4.7,31:07:00,7.1,417.0,-,9.090909090909092,4,2,7,6.5,3.0,1.0,75.0,3.7,33:12:00,8.4,509.0,-7.8,6.666666666666667
 Zilean,9,12,9,8.2,6.0,3.0,67.0,12.3,34:14:00,7.4,381.0,-12.2,9.417040358744394,2,4,6,8,1.0,1.0,50.0,9.5,33:05:00,8.4,453.0,5.5,6.382978723404255,4,3,2,6.3,2.0,2.0,50.0,4.0,33:15:00,8.0,504.0,-,2.1212121212121215,0,0,0,-,,,,,0:00,,,,0.0
 Blitzcrank,10,11,9,8.3,8.0,2.0,80.0,2.9,37:14:00,0.9,126.0,0.8,9.417040358744394,2,3,5,4,1.0,1.0,50.0,3.7,36:55:00,0.9,105.0,0.5,5.319148936170213,13,14,8,8.1,6.0,7.0,46.0,3.3,32:16:00,1.0,163.0,0,8.181818181818182,2,2,4,10,0.0,2.0,0.0,0.5,34:16:00,0.9,93.0,-3.5,4.444444444444445
 Gnar,15,5,9,6.8,6.0,9.0,40.0,1.6,34:24:00,8.2,440.0,-0.9,8.968609865470851,0,0,0,-,,,,,0:00,,,,0.0,1,0,0,-,0.0,1.0,0.0,2.0,39:08:00,7.0,516.0,-,0.30303030303030304,4,1,6,10,3.0,1.0,75.0,5.2,33:48:00,8.9,449.0,17.5,5.555555555555555
