Champion,Picks,Bans,Presence,Avg BT,Wins,Losses,Winrate,KDA,GT,CSM,DPM,CSD@15
 Janna,7,0,2%,-,3,4,43%,3.9,31:35:00,2.1,284,-
 Nocturne,4,2,2%,8.5,1,3,25%,1.8,32:48:00,6.9,222,-
 Vayne,3,3,2%,6.7,2,1,67%,3,26:32:00,8.6,626,-
 Viktor,4,1,2%,10,3,1,75%,9,32:14:00,9.1,694,-
 Pyke,4,0,1%,-,1,3,25%,2.4,32:35:00,1.8,218,0
 Yasuo,1,3,1%,9,1,0,100%,7.5,25:51:00,7.6,358,-
 Karthus,1,1,1%,6,1,0,100%,4.7,41:37:00,6.9,760,-
 Ashe,2,0,1%,-,1,1,50%,5,36:56:00,9.7,336,-
 Sivir,1,1,1%,9,0,1,0%,1,33:32:00,9.6,429,-
 Zac,2,0,1%,-,2,0,100%,10,40:51:00,5.1,327,-
 Talon,1,0,0%,-,0,1,0%,5,32:09:00,6.8,337,-
 Gnar,1,0,0%,-,0,1,0%,2,39:08:00,7,516,-
 Draven,1,0,0%,-,0,1,0%,1.2,28:29:00,9.3,344,-
 Lulu,1,0,0%,-,0,1,0%,2,32:47:00,0.9,92,0
 Nunu,1,0,0%,-,0,1,0%,0.5,32:56:00,4.6,159,-
 Ziggs,1,0,0%,-,1,0,100%,11,30:25:00,8.7,563,-
 Volibear,1,0,0%,-,1,0,100%,6,30:18:00,1.5,186,0
 Jhin,1,0,0%,-,1,0,100%,14,28:12:00,9.1,595,-
 Hecarim,1,0,0%,-,0,1,0%,0.8,28:12:00,7.9,241,-
 Kayle,1,0,0%,-,1,0,100%,8,29:02:00,9.3,333,-
 Tristana,1,0,0%,-,1,0,100%,4,31:25:00,9.9,401,-
 Xin Zhao,1,0,0%,-,0,1,0%,2,23:54,3.8,323,-
 Shen,0,1,0%,7,,,,,0:00,,,
 KogMaw,1,0,0%,-,0,1,0%,0.3,32:47:00,9.9,623,0
 Twisted Fate,1,0,0%,-,1,0,100%,10,32:42:00,8.2,397,-
 Udyr,0,0,0%,-,,,,,0:00,,,
 Annie,0,0,0%,-,,,,,0:00,,,
 Nami,0,0,0%,-,,,,,0:00,,,
 Skarner,0,0,0%,-,,,,,0:00,,,
 VelKoz,0,0,0%,-,,,,,0:00,,,
 Heimerdinger,0,0,0%,-,,,,,0:00,,,
 Veigar,0,0,0%,-,,,,,0:00,,,
 Chogath,0,0,0%,-,,,,,0:00,,,
 Rammus,0,0,0%,-,,,,,0:00,,,
 Soraka,0,0,0%,-,,,,,0:00,,,
 Ivern,0,0,0%,-,,,,,0:00,,,
 Katarina,0,0,0%,-,,,,,0:00,,,
 Warwick,0,0,0%,-,,,,,0:00,,,
 Dr. Mundo,0,0,0%,-,,,,,0:00,,,
 Riven,0,0,0%,-,,,,,0:00,,,
 Teemo,0,0,0%,-,,,,,0:00,,,
 Ahri,0,0,0%,-,,,,,0:00,,,
 Lux,0,0,0%,-,,,,,0:00,,,
 Shyvana,0,0,0%,-,,,,,0:00,,,
 Yorick,0,0,0%,-,,,,,0:00,,,
 Fiddlesticks,0,0,0%,-,,,,,0:00,,,
 Twitch,0,0,0%,-,,,,,0:00,,,
 Anivia,0,0,0%,-,,,,,0:00,,,
 Master Yi,0,0,0%,-,,,,,0:00,,,
 Sion,0,0,0%,-,,,,,0:00,,,
 Zyra,0,0,0%,-,,,,,0:00,,,
 Garen,0,0,0%,-,,,,,0:00,,,
 Urgot,0,0,0%,-,,,,,0:00,,,
 Brand,0,0,0%,-,,,,,0:00,,,
 Nasus,0,0,0%,-,,,,,0:00,,,
 Sona,0,0,0%,-,,,,,0:00,,,
 Illaoi,0,0,0%,-,,,,,0:00,,,
 Jinx,0,0,0%,-,,,,,0:00,,,
 Vi,0,0,0%,-,,,,,0:00,,,
 Darius,0,0,0%,-,,,,,0:00,,,
 Rengar,0,0,0%,-,,,,,0:00,,,
 Swain,0,0,0%,-,,,,,0:00,,,
 Kayn,0,0,0%,-,,,,,0:00,,,
 KhaZix,0,0,0%,-,,,,,0:00,,,
 Xerath,0,0,0%,-,,,,,0:00,,,
 Evelynn,0,0,0%,-,,,,,0:00,,,
 Shaco,0,0,0%,-,,,,,0:00,,,
 Tryndamere,0,0,0%,-,,,,,0:00,,,
 Amumu,0,0,0%,-,,,,,0:00,,,
 Malzahar,0,0,0%,-,,,,,0:00,,,
 Singed,0,0,0%,-,,,,,0:00,,,
 Zed,0,0,0%,-,,,,,0:00,,,
 Fizz,0,0,0%,-,,,,,0:00,,,
